VEHICLE_ID,VEHICLE_NUMBER,VEHICLE_TYPE,BRAND,MODEL,MANUFACTURING_YEAR,COLOR,FUEL_TYPE,SEATING_CAPACITY,REGISTRATION_DATE,INSURANCE_EXPIRY_DATE,VEHICLE_STATUS
VEH000001,KA01AB1234,Sedan,Maruti Suzuki,Dzire,2023,White,Petrol,4,2024-01-10,2027-01-09,ACTIVE
VEH000002,MH12CD5678,Hatchback,Hyundai,i20,2022,Silver,Petrol,5,2024-01-15,2027-01-14,ACTIVE
VEH000003,DL05EF9012,SUV,Tata,Nexon,2024,Blue,Diesel,5,2024-02-01,2027-01-31,ACTIVE
VEH000004,TN09GH3456,Sedan,Honda,City,2023,Black,Petrol,5,2024-02-20,2027-02-19,ACTIVE
VEH000005,GJ18JK7890,Hatchback,Toyota,Glanza,2022,Red,Petrol,5,2024-03-01,2027-02-28,ACTIVE
VEH000006,TS07LM2345,SUV,Mahindra,XUV300,2023,White,Diesel,5,2024-03-15,2027-03-14,ACTIVE
VEH000007,UP32NP6789,Sedan,Hyundai,Aura,2024,Grey,CNG,5,2024-04-01,2027-03-31,ACTIVE
VEH000008,KL14QR1234,Premium Sedan,Toyota,Camry,2023,Silver,Hybrid,5,2024-04-15,2027-04-14,ACTIVE
VEH000009,RJ20ST5678,SUV,Kia,Seltos,2022,Blue,Diesel,5,2024-05-01,2027-04-30,INACTIVE
VEH000010,PB10UV9012,Electric,Tata,Tiago EV,2024,Green,Electric,5,2024-05-20,2027-05-19,ACTIVE
