RATING_ID,TRIP_ID,CUSTOMER_ID,DRIVER_ID,DRIVER_RATING,CUSTOMER_RATING,REVIEW_COMMENT,RATING_DATE
RAT000001,TRIP000001,CUST000001,DRV000001,5.0,5.0,Excellent ride and polite driver.,2026-07-15
RAT000002,TRIP000002,CUST000002,DRV000002,4.5,5.0,Safe driving and clean vehicle.,2026-07-15
RAT000003,TRIP000003,CUST000003,DRV000003,4.0,4.5,Reached on time.,2026-07-16
RAT000004,TRIP000004,CUST000004,DRV000004,5.0,4.5,Friendly driver.,2026-07-16
RAT000005,TRIP000005,CUST000005,DRV000005,3.5,4.0,Vehicle could have been cleaner.,2026-07-17
RAT000006,TRIP000006,CUST000006,DRV000006,4.8,5.0,Smooth and comfortable journey.,2026-07-17
RAT000007,TRIP000007,CUST000007,DRV000007,4.2,4.5,Good experience overall.,2026-07-18
RAT000008,TRIP000008,CUST000008,DRV000008,5.0,5.0,Highly recommended driver.,2026-07-18
RAT000009,TRIP000009,CUST000009,DRV000009,3.8,4.0,Driver arrived slightly late.,2026-07-19
RAT000010,TRIP000010,CUST000010,DRV000010,4.9,5.0,Perfect ride experience.,2026-07-19
